#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
10,一,一,hbl__00,cat__num,edb__KS1,jat1,one,一,ایک,ek,एक,एक,ek,satu
20,一個,一個,hbl__00,cat__mw,edb__NA,jat1-go3,one,一个,ایک,ek,एक,एक,ek,satu buah
30,三,三,hbl__00,cat__num,edb__KS1,saam1,three,三,تین,teen,तीन,तीन,teen,tiga
40,乜,乜,hbl__00,cat__dem,edb__NA,mat1,what,啥,کیا,kya,के,क्या,kya,apa
50,乜嘢,乜嘢,hbl__00,cat__dem,edb__NA,mat1-je5,what,什么,کیا,kya,के,क्या,kya,ada apa
60,事,事,hbl__00,cat__n_abs,edb__KS1,si6,matter,事情,معاملہ,maamla,कुरा,मामला,maamla,hal
70,二,二,hbl__00,cat__num,edb__KS1,ji6,two,二,دو,do,दुई,दो,do,dua
80,五,五,hbl__00,cat__num,edb__KS1,ng5,five,五,پانچ,paanch,पाँच,पांच,paanch,lima
90,人,人,hbl__00,cat__n_animal,edb__KS1,jan4,people,人,انسانی,insan,मानव,मानव,manav,orang
91,人,人,hbl__00,cat__n_animal,edb__KS1,jan4,person,人,انسانی,insan,मानव,मानव,manav,orang
100,仔,仔,hbl__00,cat__n_animal,edb__NA,zai2,son,儿子,بیٹا,beta,छोरा,बेटा,beta,anak lelaki
110,企,企,hbl__00,cat__v_act,edb__NA,kei5,stand,站,کھڑے,khara,खडा,खड़ा,khada,berdiri
120,你,你,hbl__00,cat__pron,edb__KS1,nei5,you,你,تم,tum,तपाईं,आप,aap,kamu
130,佢,佢,hbl__00,cat__pron,edb__NA,keoi5,he / she / it,他她它,وہ,wo,त्यो,वह,veh,dia / itu
140,係,係,hbl__00,cat__v_stat,edb__NA,hai6,is,是,ہے,hai,छ,है,hai,iya
150,係唔係,係唔係,hbl__00,cat__v_stat,edb__NA,hai6-m4-hai6,is it?,是不是,کیا یہ؟,kya yeh,यो हो?,क्या यह?,kya yeh,benar bergitu?
160,個,個,hbl__00,cat__mw,edb__KS1,go3,(measure),个,(measure),(measure),,(measure),(measure),(satuan benda)
170,入,入,hbl__00,cat__v_dir,edb__KS1,jap6,to enter,进,داخل ہونا,dakhil hona,प्रवेश गर्नु,प्रवेश करना,pravesh karna,masuk
180,入去,入去,hbl__00,cat__v_dir,edb__NA,jap6-heoi3,enter,进去,داخل,dakhil,प्रविष्ट गर्नुहोस्,प्रवेश करो,pravesh karo,masuk kesana
190,入嚟,入嚟,hbl__00,cat__v_dir,edb__NA,jap6-lai4,come in,进来,اندر او,andar aao,भित्र आउ,अंदर आओ,andar aao,masuk dalam sini
200,入面,入面,hbl__00,cat__n_loc,edb__NA,jap6-min6,inside,裡面,اندر,andar,भित्र,भीतर,bheetar,dalam
210,兩,兩,hbl__00,cat__num,edb__KS1,loeng5,two,两,دو,do,दुई,दो,do,dua
220,兩個,兩個,hbl__00,cat__mw,edb__NA,loeng5-go3,two,两个,دو,do,दुई,दो,do,dua buah
230,公園,公園,hbl__00,cat__n_place,edb__KS1,gung1-jyun4,park,公园,سیر گاہ,sairgah,पार्क,पार्क,park,taman
240,冇,冇,hbl__00,cat__v_stat,edb__NA,mou5,don't have,没有,نہیں ہے,nahin hai,होईन,नहीं है,nahin hai,tidak ada
250,出,出,hbl__00,cat__v_dir,edb__KS1,ceot1,to go out,出去,باہر جانا,baahar jaana,बाहिर जानु,बाहर जाना,baahar jaana,keluar
260,出去,出去,hbl__00,cat__v_dir,edb__KS1,ceot1-heoi3,to get out,出去,باہر نکالنا,baahar nikalna,बाहिर निस्कन,बाहर निकलना,baahar nikalna,pergi keluar
270,出嚟,出嚟,hbl__00,cat__v_dir,edb__NA,ceot1-lai4,to come out,出来,باہر آنا,baahar aana,बाहिर आउन,बाहर आना,baahar aana,keluar kesini
280,出面,出面,hbl__00,cat__n_loc,edb__KS2,ceot1-min6,outside,外面,باہر,baahar,बाहिर,बाहर,baahar,di luar
290,去,去,hbl__00,cat__v_dir,edb__KS1,heoi3,to go,去,جانا,jaana,जाऊ,जाना,jaana,pergi 
300,口,口,hbl__00,cat__n_body,edb__KS1,hau2,mouth,口,منہ,muh,मुख,मुंह,muh,mulut
310,叫,叫,hbl__00,cat__v_act,edb__KS1,giu3,to call,叫,بلانا,bulaana,रो,बुलाना,bulaana,panggil
320,叻,叻,hbl__00,cat__v_adj,edb__NA,lek1,brilliant,厉害,شاندار,shandaar,शानदार,प्रतिभाशाली,pratibhashaali,luar biasa
330,同,同,hbl__00,cat__conj,edb__KS1,tung4,and,和,اور,aur,उस्तै,और,aur,dengan
340,同,同,hbl__00,cat__gram,edb__KS1,tung4,with,跟,کے ساتھ,ke saath,उस्तै,के साथ,ke saath,dengan
350,名,名,hbl__00,cat__n_abs,edb__KS1,meng2,name,名字,نام,naam,नाम,नाम,naam,nama 
360,呢,呢,hbl__00,cat__dem,edb__KS1,ne1,(particle),呢,(particle),(particle),,(particle),(particle),(imbuhan kata)
370,呢個,呢個,hbl__00,cat__mw,edb__NA,ni1-go3,this one,这个,یہ والا,yeh wala,यो चाहिँ,यह वाला,yeh wala,yang ini
380,呢啲,呢啲,hbl__00,cat__mw,edb__NA,ni1-di1,these,这些,یہ,yeh,मा,यह,yeh,yang ini (banyak)
390,呢度,呢度,hbl__00,cat__mw,edb__NA,ni1-dou6,here,这里,یہاں,yahaan,यहाँ,यहाँ,yahaan,sini
400,咗,咗,hbl__00,cat__aff,edb__NA,zo2,-en,了,(perfective),(perfective),(भूत काल),(perfective),(perfective),(imbuhan kata kerja yang sudah dilakukan)
410,咩,咩,hbl__00,cat__dem,edb__NA,me1,what,什么,کیا,kya,के,क्या,kya,apa
420,咩,咩,hbl__00,cat__dem,edb__NA,me1,(particle),么,(particle),(particle),,(particle),(particle),(imbuhan)
430,咩嘢,咩嘢,hbl__00,cat__dem,edb__NA,me1-je5,what,什么,کیا,kya,के,क्या,kya,ada apa
440,哎吔,哎吔,hbl__00,cat__intj,edb__NA,ai1-jaa3,Oh!,哎呀,اوہ,oh!,"ओह, यो त्यस्तै हो!",ओह!,oh!,aah
450,哥哥,哥哥,hbl__00,cat__n_ppl,edb__KS1,go4-go1,elder brother,哥哥,بڑا بھائی,bada bhai,दाइ,बड़ा भाई,bada bhai,kakak lelaki
460,哥哥,哥哥,hbl__00,cat__n_ppl,edb__KS1,go1-go1,elder brother,哥哥,بڑا بھائی,bada bhai,दाइ,बड़ा भाई,bada bhai,kakak lelaki
470,唔,唔,hbl__00,cat__adv,edb__KS2,m4,not,不,نہیں,nahin,होइन,नहीं,nahin,tidak
480,唔係,唔係,hbl__00,cat__v_stat,edb__NA,m4-hai6,is not,不是,نہیں ہے,nahin hai,होईन,नहीं है,nahin hai,bukan
490,唔該,唔該,hbl__00,cat__expr,edb__NA,m4-goi1,Thanks,谢谢,شکریہ,dhanyawaad,धन्यवाद,धन्यवाद,dhanyawaad,terima kasih
500,啊,啊,hbl__00,cat__sfp,edb__KS1,aa3,(particle),啊,(particle),(particle),,(particle),(particle),(imbuhan)
510,啲,啲,hbl__00,cat__mw,edb__NA,di1,some,些,کچھ,kuch,केहि,कुछ,kuch,beberapa
520,喇,喇,hbl__00,cat__sfp,edb__NA,laa3,already,了,پہلے سے,pehle se,पहिले नै,पहले से,pehle se,(imbuhan kata kerja yang sudah dilakukan)
530,喺,喺,hbl__00,cat__v_stat,edb__NA,hai2,at,在,پر,par,खुल्ला,पर,par,di
540,喺度,喺度,hbl__00,cat__adv,edb__NA,hai2-dou6,right here,在这里,یہیں,yahin,यहाँ मात्र,यहीं,yahin,disini
550,嗰,嗰,hbl__00,cat__dem,edb__NA,go2,that,那,وہ,wo,त्यो,उस,उस,yang
560,嗰個,嗰個,hbl__00,cat__mw,edb__NA,go2-go3,that one,那个,وہ والا,wo wala,त्यो एक,वह,veh,yang itu
570,嗰啲,嗰啲,hbl__00,cat__mw,edb__NA,go2-di1,those,那些,وہ,wo,ती,वे,ve,yang itu (banyak)
580,嗰度,嗰度,hbl__00,cat__mw,edb__NA,go2-dou6,there,那里,وہاں,vahaan,त्यहाँ,वहाँ,vahaan,disana
590,嘅,嘅,hbl__00,cat__gram,edb__NA,ge3,(linker),的,کے,ka,को,का,ka,milik
591,嘅,嘅,hbl__00,cat__gram,edb__NA,ge3,’s,的,کے,ka,को,का,ka,milik
592,嘅,嘅,hbl__00,cat__gram,edb__NA,ge3,(particle),的,,,,,,
600,嘢,嘢,hbl__00,cat__n_abs,edb__NA,je5,thing,东西,چیز,cheez,कुरा,चीज़,cheez,benda
610,嚟,嚟,hbl__00,cat__v_dir,edb__NA,lai4,to come,来,آنا,aana,आउनुहोस्,आना,aana,datang
620,四,四,hbl__00,cat__num,edb__KS1,sei3,four,四,چار,chaar,चार,चार,chaar,empat
630,地鐵,地鐵,hbl__00,cat__n_trans,edb__KS1,dei6-tit3,MTR,地铁,ایم ٹی آر,MTR,MTR,MTR,MTR,kereta bawah tanah
640,坐,坐,hbl__00,cat__v_act,edb__KS1,zo6[co5],to sit,坐,بیٹھنا,baithna,बस्नु,बैठना,baithna,duduk
650,多,多,hbl__00,cat__v_adj,edb__KS1,do1,many,多,متعدد,mutaedid,धेरै,अनेक,anek,banyak
660,多謝,多謝,hbl__00,cat__expr,edb__KS1,do1-ze6,thank you,谢谢,شکریہ,shukria,धन्यवाद,धन्यवाद,dhanyawaad,terima kasih
670,大,大,hbl__00,cat__v_adj,edb__KS1,daai6,big,大,بڑا,bada,ठुलो,बड़ा,bada,besar
680,大家,大家,hbl__00,cat__pron,edb__KS1,daai6-gaa1,everyone,大家,ہر ایک,har koi,सबैजना,हर कोई,har koi,kita semua
690,天氣,天氣,hbl__00,cat__n_nature,edb__KS1,tin1-hei3,weather,天气,موسم,mausam,मौसम,मौसम,mausam,cuaca
700,天空,天空,hbl__00,cat__n_nature,edb__KS1,tin1-hung1,sky,天空,آسمان,aasman,आकाश,आकाश,aakaash,langit
710,女,女,hbl__00,cat__n_animal,edb__NA,neoi2,daughter,女儿,بیٹی,beti,छोरी,बेटी,beti,anak perempuan
711,女,女,hbl__00,cat__n_animal,edb__NA,neoi5,female,女,,,,,,
720,好,好,hbl__00,cat__adv,edb__KS1,hou2,very,很,بہت,bahut,धेरै,बहुत,bahut,sangat
730,好,好,hbl__00,cat__adv,edb__KS1,hou2,good,好,اچھی,achhi,राम्रो,अच्छा,achha,baik
740,好,好,hbl__00,cat__adv,edb__KS1,hou3,like,喜欢,جیسے,jesay,जस्तै,पसंद,pasand,suka
750,好多,好多,hbl__00,cat__num,edb__NA,hou2-do1,many,好多,متعدد,mutaedid,धेरै,अनेक,anek,sanget banyak
760,媽媽,媽媽,hbl__00,cat__n_ppl,edb__KS1,maa4-maa1,mother,妈妈,ماں,maa,आमा,मां,maa,ibu
770,家姐,家姐,hbl__00,cat__n_ppl,edb__NA,gaa1-ze1,elder sister,姐姐,بڑی بہن,badi behen,दिदी,बड़ी बहन,badi behen,kakak  perempuan
780,小,小,hbl__00,cat__v_cat,edb__KS1,siu2,small,小,چھوٹے,chhota,सानो,छोटा,chhota,kecil
790,小朋友,小朋友,hbl__00,cat__n_ppl,edb__KS1,siu2-pang4-jau5,child,小朋友,بچہ,bachha,बच्चा,बच्चा,bachha,anak-anak
800,少,少,hbl__00,cat__v_adj,edb__KS1,siu2,few,少,کچھ,kuch,केहि,कुछ,kuch,sedikit
810,少,少,hbl__00,cat__v_adj,edb__KS1,siu3,young,少,نوجوان,nojawan,युवा,युवा,yuva,muda
820,屋企,屋企,hbl__00,cat__n_place,edb__NA,uk1-kei2,home,家,گھر,ghar,घर,घर,ghar,rumah
830,巴士,巴士,hbl__00,cat__n_trans,edb__KS1,baa1-si2,bus,巴士,بس,bus,मात्र,बस,bus,bis
840,牀,牀,hbl__00,cat__n_house,edb__NA,cong4,bed,床,بستر,bistar,ओछ्यान,बिस्तर,bistar,ranjang
841,床,牀,hbl__00,cat__n_house,edb__NA,cong4,bed,床,بستر,bistar,ओछ्यान,बिस्तर,bistar,ranjang
850,度,度,hbl__00,cat__mw,edb__KS1,dou6,place,処,پر,par,,पर,par,tempat
860,想,想,hbl__00,cat__v_act,edb__KS1,soeng2,to want,想,چاہنا,chahna,सोच्नु,चाहना,chahna,kangen 
870,我,我,hbl__00,cat__pron,edb__KS1,ngo5,I,我,میں,main,म हो,मैं,main,saya
880,房,房,hbl__00,cat__n_house,edb__NA,fong2,room,房,کمرہ,kamraa,कोठा,कमरा,kamraa,kamar
890,手,手,hbl__00,cat__n_body,edb__KS1,sau2,hand,手,ہاتھ,haath,हात,हाथ,haath,tangan
900,拎,拎,hbl__00,cat__v_act,edb__NA,ling1,take,拎,لینا,lena,लिनु,लेना,lena,membawa
910,拜拜,拜拜,hbl__00,cat__expr,edb__NA,baai1-baai3,bye bye,拜拜,الوداع,alvida,Bye,अलविदा,alvida,sampai jumpa
106100,早抖,早抖,hbl__00,cat__expr,edb__NA,zou2-tau2,good night,,,,,,,
920,早晨,早晨,hbl__00,cat__expr,edb__KS1,zou2-san4,morning,早晨,صبح,subah,बिहान,सुबह,subah,selamat pagi
930,書,書,hbl__00,cat__n_daily,edb__KS1,syu1,book,书,کتاب,kitaab,पुस्तक,पुस्तक,pustak,buku
940,有,有,hbl__00,cat__v_stat,edb__KS1,jau5,have,有,ہے,hai,छ,है,hai,ada 
950,有冇,有冇,hbl__00,cat__v_stat,edb__NA,jau5-mou5,have-or-haven't,有沒有,ہے یا نہیں ہے,hai-ya-nahin hai,छ वा छैन,है-या-नहीं है,hai-ya-nahin hai,ada tidak?
960,朋友,朋友,hbl__00,cat__n_ppl,edb__KS1,pang4-jau5,friend,朋友,دوست,mitr,साथी,मित्र,mitr,teman
970,樹,樹,hbl__00,cat__n_nature,edb__KS1,syu6,tree,树,درخت,drakht,रुख,पेड़,ped,pohon
980,水,水,hbl__00,cat__n_food,edb__KS1,seoi2,water,水,پانی,paani,पानी,पानी,paani,air
990,海,海,hbl__00,cat__n_nature,edb__KS1,hoi2,sea,海,سمندر,samudr,समुद्री,समुद्र,samudr,laut
1000,燈,燈,hbl__00,cat__n_daily,edb__KS1,dang1,lamp,灯,چراغ,charagh,बत्ती,दीपक,deepak,lampu
1010,爸爸,爸爸,hbl__00,cat__n_ppl,edb__KS1,baa4-baa1,father,爸爸,باپ,baap,बुबा,पिता,pita,ayah
1020,狗,狗,hbl__00,cat__n_animal,edb__KS1,gau2,dog,狗,کتا,kutta,कुकुर,कुत्ता,kutta,anjing
1030,玩,玩,hbl__00,cat__v_act,edb__KS1,waan2,to play,玩儿,کھیلنا,khelna,खेल जान,खेलना,khelna,bermain
1040,玩,玩,hbl__00,cat__v_act,edb__KS1,wun6,to play,玩儿,کھیلنا,khelna,खेल जान,खेलना,khelna,bermain
1050,眼,眼,hbl__00,cat__n_body,edb__KS1,ngaan5,eye,眼,آنکھ,aankh,आखा,आंख,aankh,mata
1060,睇,睇,hbl__00,cat__v_act,edb__NA,tai2,to look,看,دیکھنا,dekhna,हेर्न,देखना,dekhna,lihat
1070,窗,窗,hbl__00,cat__n_house,edb__KS1,coeng1,window,窗,کھڑکی,khidki,विन्डो,खिड़की,khidki,jendela
1080,細,細,hbl__00,cat__v_adj,edb__KS1,sai3,small,小,چھوٹا,chhota,सानो,छोटा,chhota,kecil
1090,細佬,細佬,hbl__00,cat__n_ppl,edb__NA,sai3-lou2,younger brother,弟弟,چھوٹا بھائی,chhota bhai,कान्छो भाइ,छोटा भाई,chhota bhai,adik laki-laki
1100,細妹,細妹,hbl__00,cat__n_ppl,edb__NA,sai3-mui2,younger sister,妹妹,چھوٹی بہن,chhoti behen,कान्छी बहिनी,छोटी बहन,chhoti behen,adik perempuan
1110,緊,緊,hbl__00,cat__aff,edb__KS1,gan2,-ing,正在,(continuous),(continuous),-ing,(continuous),(continuous),sedang
1120,而家,而家,hbl__00,cat__n_time,edb__NA,ji4-gaa1,now,现在,ابھی,abhi,अब,अभी,abhi,sekarang
1130,耳,耳,hbl__00,cat__n_body,edb__KS1,ji5,ear,耳,کان,kaan,कान,कान,kaan,telinga
1140,聲,聲,hbl__00,cat__n_abs,edb__KS1,seng1,sound,声,آواز,awaaz,ध्वनि,आवाज़,awaaz,suara
1150,腳,腳,hbl__00,cat__n_body,edb__KS1,goek3,"foot, leg",脚，腿,ٹانگ,tang,खुट्टा,पैर,pair,"kaki, kaki"
1160,船,船,hbl__00,cat__n_trans,edb__KS1,syun4,ship,船,کشتی,kashti,जहाज,समुद्री जहाज,samudri jahaaz,kapal laut
1170,菜,菜,hbl__00,cat__n_food,edb__KS1,coi3,vegetables,菜,سبزیاں,sabziyaan,तरकारीहरू,सब्ज़ियां,sabziyaan,sayur
1180,行,行,hbl__00,cat__v_act,edb__KS1,haang4,to walk,走,چلنا,chalna,हिडनु,पैदल चलना,paidal chalna,jalan
1190,行,行,hbl__00,cat__v_act,edb__KS1,hong4,profession,行,شعبہ,shoba,व्यापार,व्यवसाय,vyavsaay,profesi
1200,行,行,hbl__00,cat__v_act,edb__KS1,hang6,behaviour,行,سلوک,salook,व्यवहार,व्यवहार,vyavhaar,kelakuan
1210,行,行,hbl__00,cat__v_act,edb__KS1,hang4,okay,行,ٹھیک ہے,thik hai,ल,ठीक है,thik hai,baiklah
1220,街,街,hbl__00,cat__n_place,edb__KS1,gaai1,street,街,سڑک,sadak,सडक,सड़क,sadak,jalanan
1230,衫,衫,hbl__00,cat__n_daily,edb__KS1,saam1,clothes,衣服,کپڑے,kpry,लुगा,वस्त्र,vastr,pakaian
1240,袋,袋,hbl__00,cat__n_daily,edb__KS1,doi6,bag,包,بستا,bsta,झोला,बैग,bag,tas
1250,褲,褲,hbl__00,cat__n_daily,edb__NA,fu3,pants,裤,پتلون,patloon,प्यान्ट,पैंट,pant,celana
1260,襪,襪,hbl__00,cat__n_daily,edb__NA,mat6,socks,袜,جرابیں,jrabain,मोजा,मोज़े,moze,kaus kaki
1270,話,話,hbl__00,cat__v_act,edb__KS1,waa6,to say,话,کہنا,kehna,बताउनुहोस्,कहना,kehna,kata-kata
1280,諗,諗,hbl__00,cat__v_act,edb__NA,nam2,to think,想,سوچو,sochna,सोच्नुहोस्,सोचना,sochna,mikir
1290,講,講,hbl__00,cat__v_act,edb__KS1,gong2,to say,说,بتاؤ,kehna,बताउनुहोस्,कहना,kehna,mengatakan
1300,貓,貓,hbl__00,cat__n_animal,edb__KS1,maau1,cat,猫,بلّی,billi,बिरालो,बिल्ली,billi,kucing
1310,車,車,hbl__00,cat__n_trans,edb__KS1,ce1,car,车,گاڑی,gaadi,कार,गाड़ी,gaadi,mobil
1320,車,車,hbl__00,cat__n_trans,edb__KS1,geoi1,car,车,گاڑی,gaadi,कार,गाड़ी,gaadi,mobil
1330,錶,錶,hbl__00,cat__n_daily,edb__NA,biu1,watch,手表,گھڑی,ghadi,घडी,घड़ी,ghadi,jam tangan
1340,鍾意,鍾意,hbl__00,cat__v_stat,edb__NA,zung1-ji3,to like,喜欢,پسند کرنے,pasand karna,मन पराउनु,पसंद करना,pasand karna,suka
1350,門,門,hbl__00,cat__n_house,edb__KS1,mun4,door,门,اه,darwaza,ढोका,दरवाज़ा,darwaza,pintu
1360,阿,阿,hbl__00,cat__n_ppl,edb__NA,aa3,Ah-,阿,آہ,ah,आह,आह,ah,a
1370,隻,隻,hbl__00,cat__mw,edb__KS1,zek3,(measure),只,(measure),(measure),,(measure),(measure),seekor
1380,電話,電話,hbl__00,cat__n_daily,edb__KS1,din6-waa2,telephone,电话,فون,telephone,फोन,टेलीफोन,telephone,telepon
